"fixture_id","elapsed","team_id","player","type","detail"
328017,68,118,"Anderson","subst","D. Friedrich"
328017,73,118,"Alesson","subst","Gregore"
328017,73,118,"Elton","subst","Rossi"
328017,73,118,"Saldanha","subst","Gilberto"
328017,75,126,"d. C. Helio Junio N.","subst","Tche Tche"
328017,75,126,"G. Carneiro","subst","Igor Vinicius"
328017,83,126,"Leo","subst","B. Alves"
328017,86,126,"Luciano","Goal","Normal Goal"
328017,90,126,"G. Rodrigas da Silva","Card","Yellow Card"
328017,90,118,"Zeca","Card","Yellow Card"
328023,30,129,"Fabinho","subst","Charles"
328023,33,133,"Ricardo Graca","Card","Yellow Card"
328023,44,133,"Andrey","Card","Yellow Card"
328023,44,129,"V. Lima","Card","Yellow Card"
328023,45,129,"S. Xavier","Card","Yellow Card"
328023,46,133,"Gomes Bruno","subst","N. Borges"
328023,46,129,"L. Carvalho","subst","Mateus"
328023,60,133,"Henrique","Card","Yellow Card"
328023,61,129,"L. Carvalho","Card","Yellow Card"
328023,62,129,"V. Jacare","subst","V. Lima"
328023,62,129,"Vinicius","subst","Ricardinho"
328023,68,133,"G. Cano","Goal","Normal Goal"
328023,74,129,"R. Sobis","subst","Fernando Sobral"
328023,77,133,"G. Parede","subst","Andrey"
328023,78,133,"F. Bastos","Goal","Normal Goal"
328023,87,133,"M. Miranda","subst","F. Bastos"
328023,87,133,"Carlinhos","subst","M. Benitez"
328023,90,133,"Ribamar","subst","G. Cano"
328023,90,133,"Ribamar","Goal","Normal Goal"
